epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10090.2,0.65574,0.52183,0.88344,0.88511,0.7644,0.87076,0.63142,0.86139,0.6478,0.95921,0.000169913,0.000169913,0.000169913
43,10184.8,0.64636,0.50804,0.87979,0.92634,0.78534,0.87871,0.63032,0.86001,0.64777,0.95513,0.000167081,0.000167081,0.000167081
44,10279.4,0.64036,0.50545,0.88118,0.90736,0.78855,0.88792,0.60659,0.91711,0.6501,0.99039,0.00016425,0.00016425,0.00016425
45,10373.1,0.6398,0.49461,0.87815,0.9143,0.78793,0.89416,0.638,0.83773,0.61986,0.9597,0.000161418,0.000161418,0.000161418
46,10468.6,0.63117,0.49811,0.88023,0.89312,0.7945,0.87455,0.53221,0.84306,0.66879,0.95263,0.000158587,0.000158587,0.000158587
47,10561.1,0.62122,0.48857,0.86926,0.93365,0.78929,0.89234,0.64281,0.82549,0.60272,0.95316,0.000155756,0.000155756,0.000155756
48,10653.4,0.63999,0.48116,0.88346,0.89206,0.82221,0.89815,0.66157,0.78852,0.58267,0.92987,0.000152924,0.000152924,0.000152924
49,10746.4,0.61172,0.47293,0.86756,0.89448,0.80843,0.89999,0.64551,0.80658,0.62881,0.94153,0.000150093,0.000150093,0.000150093
50,10839.7,0.59737,0.46588,0.86441,0.91058,0.80044,0.89152,0.63792,0.81212,0.59554,0.94162,0.000147261,0.000147261,0.000147261
51,10932.1,0.60196,0.46442,0.86502,0.91905,0.81701,0.91402,0.66808,0.79155,0.57424,0.93426,0.00014443,0.00014443,0.00014443
52,11023.5,0.58957,0.45108,0.86425,0.87434,0.80829,0.88802,0.63563,0.81116,0.5988,0.94571,0.000141599,0.000141599,0.000141599
53,11115.8,0.58672,0.4508,0.86481,0.90158,0.83976,0.908,0.64686,0.80848,0.5919,0.94216,0.000138767,0.000138767,0.000138767
54,11209.2,0.58706,0.44369,0.85961,0.9084,0.81407,0.89981,0.65061,0.78084,0.59004,0.92888,0.000135936,0.000135936,0.000135936
